ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,file names
861,Cable seated row,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",08611301-Cable-seated-row_Back_180.webp
864,Dumbbell Upright Shoulder External Rotation,Strength,Back,Dumbbell,Male,"Teres Major, Teres Minor ",,08641301-Dumbbell-Upright-Shoulder-External-Rotation_Back_180.webp
866,Weighted Hanging leg-hip raise,Strength,Waist,Weighted,Male,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Sartorius, Tensor Fasciae Latae",08661301-Weighted-Hanging-leg-hip-raise_Waist_180.webp
868,Cable Curl,Strength,Upper Arms,Cable,Male,Biceps Brachii,"Brachialis, Brachioradialis",08681301-Cable-Curl-(male)_Upper-Arms-FIX_180.webp
869,Lever Shoulder Press (plate loaded) version 2,Strength,Shoulders,Leverage machine,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii",08691301-Lever-Shoulder-Press-(plate-loaded)-II_Shoulders_180.webp
870,Butt-ups,Strength,Waist,Body weight,Male,"Iliopsoas, Rectus Abdominis","Gluteus Maximus, Hamstrings, Obliques",08701301-Butt-ups_waist_180.webp
871,Tuck Crunch,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques,08711301-Tuck-Crunch_waist_180.webp
872,Reverse Crunch,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques,08721301-Reverse-Crunch-m_waist_180.webp
873,Cable Reverse Crunch,Strength,Waist,Cable,Male,Rectus Abdominis,Obliques,08731301-Cable-Reverse-Crunch_waist_180.webp
874,Cable Standing Crunch (with rope attachment),Strength,Waist,Cable,Male,Rectus Abdominis,Obliques,08741301-Cable-Standing-Crunch-(with-rope-attachment)_Waist-FIX_180.webp
1029,Lever Parallel Chest Press,Strength,Chest,Leverage machine,Male,Gluteus Maximus,Hamstrings,10291301-Lever-Parallel-Chest-Press_Chest_180.webp
1030,Lever Pec Deck Fly,Strength,Chest,Leverage machine,Male,Biceps Brachii,"Brachialis, Brachioradialis",10301301-Lever-Pec-Deck-Fly_Chest_180.webp
1031,Lever Standing Hip Extension,Strength,Hips,Leverage machine,Male,Triceps Brachii,,10311301-Lever-Standing-Hip-Extension_Hips_180.webp
1032,Lever Alternate Biceps Curl,Strength,Upper Arms,Leverage machine,Male,"Gluteus Medius, Tensor Fasciae Latae",,10321301-Lever-Alternate-Biceps-Curl_Upper-Arms_180.webp
1033,Lever Triceps Extension,Strength,Upper Arms,Leverage machine,Male,"Adductor Longus, Adductor Magnus","Adductor Brevis, Gracilis, Pectineous",10331301-Lever-Triceps-Extension_Upper-Arms_180.webp
1034,Lever Side Hip Abduction,Strength,Hips,Leverage machine,Male,Iliopsoas,"Adductor Brevis, Adductor Longus, Pectineous, Sartorius",10341301-Lever-Side-Hip-Abduction_Hips_180.webp
1035,Lever Side Hip Adduction,Strength,Hips,Leverage machine,Male,Gluteus Maximus,,10351301-Lever-Side-Hip-Adduction_Hips_180.webp
1036,Lever Standing Leg Raise,Strength,Hips,Leverage machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",10361301-Lever-Standing-Leg-Raise_Hips_180.webp
1037,Lever Standing Rear Kick,Strength,Hips,Leverage machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",10371301-Lever-Standing-Rear-Kick_Hips_180.webp
